播主昵称,达人详情链接,抖音号,播主粉丝数,视频标题,发布时间,视频时长,传播指数,点赞,评论,分享,收藏,播放,热词,视频详情链接,视频链接
ღ᭄ꦿ꯭浅沫ঞ,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=61048159&tab=&ts=1719989024&sign=ca303a4f39059bcda18231eae1017392,700196809,1423,#这谁顶得住啊 疯批文学掐脖吻好带感，真的毫无抵抗力 好看，爱看 惊现“苦果亦是果”名场面#度华年 #张凌赫裴文宣 #张凌赫 cr🍠,2024/6/30 14:02:30,37秒,86.3,24264,2153,12989,1524,1279835,"爱看,强制爱,张凌赫,这是,好看,苦果,谢危,九转,大肠,脖吻,感觉,牛牛,啊啊啊啊,OK,喜欢,爽了,强吻,好爽,让我,小说,看了,导演,告诉,女主,男主,会员,家人们,赛道,霸道,发呆",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386172669978234138&dateCode=20240630&ts=1719989024&sign=e5906f1bddcbc8f4b59adbefd667c635,https://www.douyin.com/share/video/7386172669978234138/?mid=
爱食星星,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=49332521&tab=&ts=1719989024&sign=af62e143aaa9acc845fb44dfad6126d0,40486968615,522,[爱食星星](2024-06-29)发布的视频,2024/6/29 13:20:59,12秒,86.3,42978,864,13196,1521,1241092,"OK,肚子,花钱,全吃,男人,妈妈,东西,小卡,全炫,放心,全买,时代峰峻,茉莉蜜茶,调皮,吃了,馋丫头,我妈,就怕,感谢,我花,一分,不想,小说,茉莉花茶,vcr,谷子,眼含,热泪,干饭人,买谷",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385790913244597544&dateCode=20240629&ts=1719989024&sign=ae4d46000f81e6d757a33bdb7043de45,https://www.douyin.com/share/video/7385790913244597544/?mid=
୧⍤⃝很幸运,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65585967&tab=&ts=1719989024&sign=ab0ee40fdf7afca52b5af5c6967d0694,94304000228,1947,#互相迁就才最长远 要不是生活所迫 谁会弄的一身才华,2024/6/29 9:33:58,47秒,86.3,43812,7161,127217,4227,4103543,"推给,学学,我老公,老公,随便,学习,才华,学着点,干嘛,一身,暗中观察,不想,生活所迫,男人,媳妇,干啥,好好学,不吃,用户,出门,不知道,喜欢,灵机一动,宝宝,男朋友,不到,吃什么,你看,化妆,我想",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385732375239593251&dateCode=20240629&ts=1719989024&sign=f9cf220161684a1193dcebb70c278450,https://www.douyin.com/share/video/7385732375239593251/?mid=
桥さん。,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=53061630&tab=&ts=1719989024&sign=4fee3bc7b991e3d80c81b212463dfd4e,hwanhee0,7099,#fyp,2024/6/28 14:46:29,11秒,86.3,44687,436,2531,3322,326674,"妈妈,妹子,女神,国抖,大妹子,好美,这是,喜欢,洋抖,姐姐,感觉,卧槽,陆抖,中国,我去,猪头,美的,太美了,好像,太洋,气了,爱心,说中文,听懂,干洋抖,抖吧,级别,抖音,有品,中国人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385441784945593609&dateCode=20240628&ts=1719989024&sign=e010aa14bc14d7a222093c7040351fb6,https://www.douyin.com/share/video/7385441784945593609/?mid=
钱很爱我,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65654583&tab=&ts=1719989024&sign=1950a07073388e99d59a4f7bc6a76091,72937570205,643,#精神状态belike,2024/6/28 9:38:51,5秒,86.3,30202,22917,16720,626,2027388,"7k7k,喜欢,小众,感觉,游戏,OK,喜欢玩,我也是,盗版,玩的,不喜欢,k7k,宕机,觉7,不知道,小游戏,高级,是因为,名字,好好吃,爱玩,界面,发现,九转,大肠,好像,电脑,我妈,盗版网站,没人玩",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385362567838862633&dateCode=20240628&ts=1719989024&sign=3df6349caec6eda6215a480ad81a2eec,https://www.douyin.com/share/video/7385362567838862633/?mid=
MycomplexYun,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=58442261&tab=&ts=1719989024&sign=7764771aee4f36d932f1993085e7eb12,heavensignpost_,23084,总说要是再早点遇到你就好了，你却说每个成长中痛或幸福的元素都构成了如今的我们，一切都刚刚好。,2024/6/26 19:03:17,7秒,86.3,184329,3640,27503,22925,1701361,"文案,幸福,好了,遇见,成长,幸福的,总说,缘分,遇见你,抱抱,宝宝,中痛,却说,元素,相遇,刚刚好,你说,早点,希望,喜欢,时间,我不想,经历,好像,在一起,过的,珍惜,痛苦,相爱,变得",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384765870490275109&dateCode=20240626&ts=1719989024&sign=1b3fa3867d3b1ac989f3880035a164c6,https://www.douyin.com/share/video/7384765870490275109/?mid=
红楼。,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65637474&tab=&ts=1719989024&sign=1b841dbe74fd120b0e12608dce08651d,67081911807,7207,“男孩子们，学会了吗”#最牛伴娘伴娘团,2024/6/26 17:57:34,7秒,86.3,90119,3701,97634,4197,7103066,"在哪,抽了,发呆,结婚,明白,伴娘,想不明白,没想,在哪里,不知道,宕机,凭什么,想不通,伴郎,学会了,哥们,喝了,九转,大肠,牛逼,两包,输在,输在了,我输,暗中观察,兄弟们,报警,学会了吗,对象,我差",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384748892874673458&dateCode=20240626&ts=1719989024&sign=14c6dd0b5a23da44142a9b6e4490e576,https://www.douyin.com/share/video/7384748892874673458/?mid=
摄影师西西,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16348005&tab=&ts=1719989024&sign=5fd291ac9cde47999dcaa217143aae76,JP228439916,804511,为心爱的人穿上婚纱 #每个女孩都有个婚纱梦 #新娘 #每个女孩的婚纱梦 #美丽的新娘 #感受一下穿婚纱的感觉,2024/7/2 1:11:13,5秒,86.3,79887,3801,64673,16230,3821691,"拒绝,女色,做起,不白看,好看,聊天,你点赞,漂亮,男人,越好,喜欢,振兴中华,婚纱,不到,好美,真好看,感谢,河南,色狼,美女,找个,有吗,建设,中华,好人,彩礼,大叔,老公,好漂亮,河北",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386715958171241768&dateCode=20240702&ts=1719989024&sign=dcfed9d1a406aa485b4e678bfdda114d,https://www.douyin.com/share/video/7386715958171241768/?mid=
局中剧,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=44128555&tab=&ts=1719989024&sign=61b6516502699a120ec3a0481e207345,30059375713,109268,#我不是烂泥巴  男女生南方餐馆大口吃肉喝酒，看呆大爷#喝酒这一块,2024/7/1 15:04:23,1分52秒,86.3,67864,3657,31627,5937,8485487,"大爷,喝酒,白酒,喝了,感觉,大口吃肉,姑娘,山东,大口,豪爽,喝的,的人,朋友,女人,妹子,喜欢,身体,羡慕,男人,洒脱,光头,九转,大肠,兄弟,不香,我喜欢,女孩子,酒精,女生,欣赏",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386559696032763170&dateCode=20240701&ts=1719989024&sign=8719be496b5c57eeb106f4a4b2114858,https://www.douyin.com/share/video/7386559696032763170/?mid=
☃ 你的下一个男友,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64724352&tab=&ts=1719989024&sign=61dd95c3ebf24507b995893f6d2395a8,dylrikcbzig3,696,有点东西#有点意思,2024/6/30 22:18:43,57秒,86.3,34493,15180,133054,2916,2610691,"惩罚,晚睡,熬夜,记忆,死去,几万人,早知道,难受,真神,小可爱,OK,睡了,突然攻击,抖音,忘了,梦回,九转,大肠,攻击,刷抖音,暗中观察,好听,耳朵,代价,一个人,我错了,这是,不该,打死,划走",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386300554609265959&dateCode=20240630&ts=1719989024&sign=63b9e5900111d8616cf43fad9989066c,https://www.douyin.com/share/video/7386300554609265959/?mid=
♪静♪,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=24609661&tab=&ts=1719989024&sign=f33e4879aaacf66df64ebfaa7078fc1d,183141596,46977,父亲在大姐家去世，临走前几天父亲交代我：存折归你，房子也归你，还立了遗嘱，背着大姐交给了我。父亲脑梗瘫了有十年，一直跟着大姐生活，不是我不管父亲，实在是分身乏术。我是警察，平时工作就忙，出任务更是随时，妻子是常年带高三的班主任，我们自己孩子生病都自己去诊所打点滴，我根本顾不上父亲。大姐二话不说，就把父亲接了过去。并且叮嘱我，让我放宽心，老爸在她那一准儿享福。我和妻子于心不忍，决定每月给大姐五千块钱，可大姐直接骂了我俩一顿，说我俩心理和她见外，把她当成啥人了?女儿照顾自己爹不是应该的吗?更何况这个爹是对她有养育之恩的恩人。大姐比我大了十五岁，曾经是被父母抛弃的小女孩，后来是父亲把她抱回家，在大姐十五岁那年，结婚多年未孕的母亲有了，生下我。母亲疼我和大姐，说没有大姐，也许就没有我。可父亲不行，自从有了我，对大姐就不是很好了，表面做的还行，可骨子里把大姐当外人了。就连大姐结婚嫁人，父亲都没给大姐多少陪嫁，大姐不但不计较，还对父母亲很孝顺。母亲去世前一年卧床不起，那时我还在上大学，大姐把母亲接过去，一直伺候到没，从来没抱怨过。父亲刚开始瘫了时，我实在照顾不了，那时候大姐还差一年退休，我只好把父亲送到养老院，后来大姐来家才知道父亲进了养老院，当时就掉了眼泪，直接去养老院看父亲，见父亲去了不到一个月，人瘦的脱了像，哭着把父亲接回家，随后就办了提前内退手续，虽然工资比正常退低了很多，可大姐说尽孝不能等，她说我退休能再等一年，可父亲的身体不一定还能熬一年。父亲瘫了十年，没长一个褥疮，身体永远清清爽爽，衣服永远干干净净，医生都说父亲简直是奇迹，还说多亏家人照顾的好。父亲丧事办完，我没拿出父亲的遗嘱，我和大姐说，既然父亲没有留下遗嘱，也没分配财产，那父亲的房子归你，这么多年，我这个亲生儿子都没照顾到父亲，这房子我受之有愧，我不要。存款我和大姐平分了，我知道，如果我都给她，她肯定不要。所以我提出来一人一半，这样房子大姐就推脱不了啦。外甥十一结婚，到时候房子正好派上用场。父亲糊涂，我不能糊涂，半世父母情，一世姐弟情。大姐以前照顾了母亲，后来为了父亲，提前一年退休。大姐照顾父亲不是为了回报，可我也不能寒了大姐的心。,2024/6/30 13:51:11,5秒,86.3,48676,3706,30261,7465,6903469,"点赞,好人,大姐,弟弟,一生,平安,姐弟,感恩,的人,善良,你点赞,孝顺,感谢,事理,一字不落,感动,做的,糊涂,儿子,姐弟俩,女儿,通情达理,好警察,姐姐,女婿,泪目了,辛苦,理解,亲情,是个",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386169753632607514&dateCode=20240630&ts=1719989024&sign=d453e5beb5188e624ad70715bdde0e65,https://www.douyin.com/share/video/7386169753632607514/?mid=
爱上美食吖🔥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=56752650&tab=&ts=1719989024&sign=1721333bb2b5debb922ae5b08f800cbb,72777292401,5268,水库泄洪！快来捉鱼啦，捉不完根本捉不完#一起来玩水 #这边的鱼是真的大 #抓鱼 #泄洪抓鱼 #发大水捞鱼,2024/6/29 22:55:28,15秒,86.3,14768,2764,11903,2017,2214432,"这是,水库,吃不完,好吃,人比,鱼多,大鱼,泄洪,感谢,抓鱼,大的,地方,好大,多鱼,发财了,一条,吃鱼,过瘾,位置,成精,养鱼,吃了,钓鱼,的人,老板,国家,看着,发个,回去,哇塞",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385938948180200758&dateCode=20240629&ts=1719989024&sign=ecfb2c6f236dadd6407f5f75f5afa6a4,https://www.douyin.com/share/video/7385938948180200758/?mid=
令狐冲茶,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=46552011&tab=&ts=1719989024&sign=c5562f19546413a88abdd20c306bea9f,1342103626,3514,苗阜王声，水平不比德云社差,2024/6/29 21:46:02,4分21秒,86.3,22364,1759,7243,2618,1807430,"相声,经典,苗阜,山本56,老郭,看了,德云社,喜欢,王声,井上,百看不厌,点赞,满腹经纶,日本,事实,精典,刷到,技术,这是,三本,听过,属实,太有,更正,讲述,郭德纲,斗门镇,小野,捧哏,陕西方言",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385921051370278196&dateCode=20240629&ts=1719989024&sign=371b8ab582146a06747faa6f98a0808e,https://www.douyin.com/share/video/7385921051370278196/?mid=
重拾快乐,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65295063&tab=&ts=1719989024&sign=48e3db6fac8f67aeec0f086d1e015898,41624436496,292,跟这样的男生谈恋爱最委屈，如果遇到了不要犹豫，赶紧跑#情感共鸣 #恋爱 #精神内耗#爱情#内容过于真实,2024/6/29 20:25:15,20秒,86.3,50123,5598,65884,8563,3519336,"就是你,星座,评论区,狮子,处女男,就是这样,水瓶,射手,天秤,男人,摩羯男,感觉,男朋友,双鱼男,白羊,天蝎男,男生,牛男,女生,前男友,双子男,巨蟹男,我老公,的人,没错,分手,宕机,这不,都是,男的",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385900245441449267&dateCode=20240629&ts=1719989024&sign=bb0147783ae17580680393edb91a98eb,https://www.douyin.com/share/video/7385900245441449267/?mid=
淼老师,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=58297489&tab=&ts=1719989024&sign=83987b4e575cfce2d15bf2566aa1ce4c,miao1280,2872,#精神状态belike #火影忍者,2024/6/29 17:31:47,17秒,86.3,16733,2739,13872,729,556168,"自来也,佩恩,求求你,别杀,OK,老师,几楼,孩子们,别怕,天道佩恩,笑死我了,王晓婷,奶奶,抚摸,奥利给,大菠萝,下雨了,木叶,求你,痛苦,老天爷,太好了,对吗,求求你了,世界,求你了,神罗天征,九转,大肠,说话",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385855513377951015&dateCode=20240629&ts=1719989024&sign=488b04edf71466f9cf6be478bb7b08c1,https://www.douyin.com/share/video/7385855513377951015/?mid=
陈木 @陈横竖撇捺,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=26702213&tab=&ts=1719989024&sign=dd57c880e638d957355da012b4ead611,ChenMu908,4358,从头吃瓜！活死人法老杨和苏和DIGI大战歌曲盘点，DISS时间线梳理 #法老 #杨和苏 #digighetto,2024/6/29 13:33:47,10分16秒,86.3,20519,1799,7807,3312,662876,"diss,asen,杨和苏,digi,桌子,OK,黑料,活死人,beef,高级,法老,说唱,八贼,看不到,mercy,还能,beat,麻瓜,听感,爆杀,发呆,Asen,谢帝,大战,结束了,土黑娃,出来了,低级,制衡,不行",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385794135539682569&dateCode=20240629&ts=1719989024&sign=ace3cb66404c6bc86f82275e48264ad9,https://www.douyin.com/share/video/7385794135539682569/?mid=
菜腿车手,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=22092789&tab=&ts=1719989024&sign=01794ee7a654bf85a241ad0102ab8a11,887212124,13938,#自行车比赛 #环法 #公路自行车 #公路车运动 #波加查 波波还是那么的帅。,2024/6/29 7:05:21,8秒,86.3,16644,632,4338,1220,1218993,"新手,锁鞋,头盔,骑车,不带,上锁,不戴头盔,不穿,一看,波加查,不带头盔,喜欢,就不会,环法,真的帅,抖音,公路车,翘头,波波,精神小伙,温格高,c68,拉爆,显眼包,装备,涂装,OK,这是,冠军,不拉几",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385694057936309538&dateCode=20240629&ts=1719989024&sign=7224b92e1b8b242779c0632ed7ec4673,https://www.douyin.com/share/video/7385694057936309538/?mid=
小拾光💫,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=63464286&tab=&ts=1719989024&sign=f9aa9baae4cccef9bd58bf4f006c071e,926009768,1244,#感动瞬间 #外卖小哥 #宝妈,2024/6/28 16:34:36,55秒,86.3,37922,5147,1856,868,1508419,"孩子,善良,老板娘,的人,外卖小哥,底层,感谢,都是,小孩,长大,好人,外卖,生活,社会,有爱,美团,仗义,狗辈,老百姓,外卖员,送外卖,温暖,中国人,人间,小哥,接力,中国,生活不易,漂亮,宝宝",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385469672260488458&dateCode=20240628&ts=1719989024&sign=ca2f175bad57fde1f8d241f06cc423c2,https://www.douyin.com/share/video/7385469672260488458/?mid=
今天也不会早睡,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=3066031&tab=&ts=1719989024&sign=bf6b2f844769835bbaa1956da06a44a8,yyykawa,14916,看吧谈恋爱要早下手#新婚现场 #,2024/6/27 18:40:22,9秒,86.3,11273,1641,7501,297,442648,"羡慕,记得,玩到,结婚了,产品,精选,青梅竹马,好合,逞强,落泪,好棒,恭喜,罗罗,幸运,虾仁,和平,冰块,干饭人,食品安全,重要性,牛逼,都行",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385131025241836809&dateCode=20240627&ts=1719989024&sign=900cb1f179c68c564c01f7d782ab8078,https://www.douyin.com/share/video/7385131025241836809/?mid=
搞笑的陌,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59680736&tab=&ts=1719989024&sign=f2d5a9d467fe34150fdc7e012d6fae51,34560529491,3998,四个凶神恶煞的老哥#万万没想到 #看一遍笑一遍 #这谁能顶得住啊,2024/6/27 13:59:23,40秒,86.3,17874,4061,76119,1043,1211097,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385058624051154213&dateCode=20240627&ts=1719989024&sign=468dfd7689c510b66d370b067b715549,https://www.douyin.com/share/video/7385058624051154213/?mid=
游戏女玩家郭婉,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=6294176&tab=&ts=1719989024&sign=24f31c4417fb3527ee6bda5fe7dc0768,bilibili9806148,742219,逛商场见到郭婉本人了，本人也就一米五的样子，腿和腰都是拉的，一点也不白#逆水寒cos #逆水寒 #逆水寒手游 #逆水寒ol #曦照东晖,2024/6/26 16:01:44,10秒,86.3,256405,2974,51291,13356,11484354,"拉腿,瓢盆,好看,太阳神,逆水寒,好美,好像,好高,关注,发呆,感觉,路人,多高,九转,大肠,cos,锅碗,宕机,姐姐,大长腿,漂亮,郭婉,好漂亮,好好看,视频,记得,手机,高跟鞋,喜欢,美女",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384719057079045415&dateCode=20240626&ts=1719989024&sign=989daad3456f56992ea4cd7cdcd1aaeb,https://www.douyin.com/share/video/7384719057079045415/?mid=
羡ovo,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=53450829&tab=&ts=1719989024&sign=1cc6516868567824fa8155b795366d58,3058271491shu,2132,#曜 #王者荣耀,2024/6/26 14:51:58,,86.3,82737,4683,13260,8215,1016992,"OK,喜欢,好帅,老公,李逍遥,玩曜,有没有,宝宝,西施,调皮,皮肤,全皮,东方曜,王者,猪头,玩家,最帅,刷到,感觉,太帅了,我老公,逍遥,爱心,真帅,曜崽,很喜欢,咒骂,爸爸,真帅啊,做的",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384701064974503168&dateCode=20240626&ts=1719989024&sign=1b5c84bfb6bbdf17a70862dd970d70db,https://www.douyin.com/share/video/7384701064974503168/?mid=
捕音抓影,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=55153747&tab=&ts=1719989024&sign=6dec0d3469cb1d754cb6ddd6d7a6f71f,85127493163,4862,#霍启刚 #巴黎奥运会 #霍震霆 #郭晶晶 #香港豪门,2024/7/2 19:06:00,50秒,86.3,47806,857,508,2542,5316172,"晶晶,郭晶晶,霍家,骄傲,自豪,儿媳妇,老爷子,豪门,一家人,爱心,嘴角,儿子,霍老,点赞,霍启刚,一脸,巴黎,提到,儿媳,老先生,奥运会,样子,地位,爱国,祖国,好开心,开心,压不住,媳妇,上扬",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386993049081072937&dateCode=20240702&ts=1719989024&sign=8a71fb1883ebef5a6cac69c4e3c3dcd4,https://www.douyin.com/share/video/7386993049081072937/?mid=
豆皮一点都不皮,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=49764248&tab=&ts=1719989024&sign=0b76e87d2818d83f54cdd2d910f555c3,84620188222,313545,这一年还是吃的太好了… #万物可爱计划 #可爱在我家 #悠闲的摆烂小猫,2024/7/1 19:43:09,10秒,86.3,170889,5794,160314,4576,6748705,"猫粮,吃的,小猫,我家,豆皮,变小,宕机,不养,好可爱,吃饭,长大,不吃,九转,大肠,疑问,猫猫,肚子,猪咪,长腿,暗中观察,不爱,换了,猪头,发呆,挑食,这是,干饭,肚皮,能吃,半挂",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386631549074099482&dateCode=20240701&ts=1719989024&sign=a06a36e0e770958130d2cff34b049c31,https://www.douyin.com/share/video/7386631549074099482/?mid=
Darren Kim,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65761059&tab=&ts=1719989024&sign=ede0dc0522d221ebad3947e5a771f0e0,21431999460,14946,[Darren Kim](2024-07-01)发布的视频,2024/7/1 1:57:22,4秒,86.3,55117,113,335,632,1891545,"蛋蛋,流量,ett,蛋总,视频,it,video,宠粉,ie,干饭人,you,finish,What,这是,我的姐姐,小男孩,OK,oh,It,主播,迄今为止,thank,very,洋文,听不懂,妈妈,哐哐,更新,拍照,按成",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386356763794099497&dateCode=20240701&ts=1719989024&sign=774c1c8814412a225b20e8a479a3d779,https://www.douyin.com/share/video/7386356763794099497/?mid=
周號,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=17441564&tab=&ts=1719989024&sign=cbc8805b120a6113ede42ed607a6b090,CHN_XZ,9007,铁汉也柔情#普京#普京握手名场面,2024/6/29 23:28:36,38秒,86.3,24324,950,12258,1858,1718076,"好可爱,太可爱了,可爱的,喜欢,老头,小老头,普京,外国,老可爱,感觉,baby,霸气,男神,这是,普京大帝,好喜欢,幽默,的人,小动作,小可爱,表情,真可爱,也有,好想,小表情,老头子,超可爱,外国人,男人,很可爱",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385947453419261196&dateCode=20240629&ts=1719989024&sign=23591db77a3cf25c71600aea200fa34a,https://www.douyin.com/share/video/7385947453419261196/?mid=
初心i,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=27952932&tab=&ts=1719989024&sign=e17734dad19a0b8f880f294a45d33531,341696959,132140,怎么形容这种感觉呢 大概每个河南孩子都懂#河南 #人间烟火#乡愁记忆 #农村生活 #河南,2024/6/29 10:26:48,26秒,86.3,135170,4620,28019,4617,2701060,"过年了,河南,过年,想家,感觉,别搞,回家,想回家,刷到,回家过年,人间烟火,回去,山东,大集,好像,安徽,家乡,老家,怀念,赶集,孩子,抖音,气氛,好喜欢,哭了,喜欢,地方,回家了,新年快乐,回老家",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385745972925598986&dateCode=20240629&ts=1719989024&sign=9140d46ff91893f86b67ad9df2a54759,https://www.douyin.com/share/video/7385745972925598986/?mid=
金州拉文,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=60402896&tab=&ts=1719989024&sign=3f6a3c1ab0f1a99103644f52b831e52d,ssdh0827,214,饭撒现场！爱你们#十个勤天巡演 #十个勤天 #演唱会 #巡演 #十个勤天只能是十个勤天,2024/6/29 1:08:48,2分1秒,86.3,86400,2410,17133,10889,1013024,"好幸福,幸福,哭了,ber,落泪,羡慕,大哥,感觉,抱抱,视频,二哥,做大做强,小何,弟弟,逞强,小童,一博,演唱会,利好,好想哭,好想,幸福的,笑着,嫉妒,看着,啾咪,眼含,热泪,种地,追着",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385602128078753063&dateCode=20240629&ts=1719989024&sign=afac24280335ef903cdbda669e3f1d5c,https://www.douyin.com/share/video/7385602128078753063/?mid=
大爱无疆,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65709949&tab=&ts=1719989024&sign=e01fccb0bdd91526be99be964b65476f,23378049323,1577,真心相爱的人却要阴阳两隔，泪崩了,2024/6/28 22:24:24,20秒,86.3,46843,3471,4128,2542,3950590,"感谢,真爱,爱情,新娘,女人,幸福,感动,女孩,的人,新郎,善良,是真爱,人间,点赞,真情,一生,一路走好,姑娘,这是,世间,现实,平安,男人,好人,好感动,爱心,看着,有情有义,眼泪,男孩",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385559845254089984&dateCode=20240628&ts=1719989024&sign=6318f15ac5f87afea0a8dd2e004e5b26,https://www.douyin.com/share/video/7385559845254089984/?mid=
喵寂,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=50531623&tab=&ts=1719989024&sign=894ae33512f18e1a7ee8cc2aafedcfb4,angelkawaiii5,3623,#太中,2024/6/28 0:29:10,10秒,86.3,105829,7176,10607,7358,837739,"OK,宕机,太宰,感觉,九转,大肠,笑死我了,看了,中也,ooc,太宰治,裙子,青花鱼,甜滋滋,笑死了,ing,爱丽丝,好好笑,好看,文野,洁癖,不吃,AAA,大妹子,chuya,走上,原作,爆改,符合原著,cp",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385220856504487187&dateCode=20240628&ts=1719989024&sign=7f70974483796f707148a2f319d7936d,https://www.douyin.com/share/video/7385220856504487187/?mid=
姚界新闻,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7840237&tab=&ts=1719989024&sign=cafc8ff5055b4f2ba6584f137d68bb4f,alayuyao,189228,#从心出发去余姚 #剧情 #旅行推荐官 《心动余姚》第三集！这里山美水美味更美～@抖音小助手 @DOU+小助手,2024/6/27 18:27:49,1分13秒,86.3,79910,200,315,2028,698559,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385127801252269339&dateCode=20240627&ts=1719989024&sign=2dfc30c7d3a1858455c32bf6ecf32f43,https://www.douyin.com/share/video/7385127801252269339/?mid=
易酒志弓（日拱一卒）,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65198253&tab=&ts=1719989024&sign=785a234f7e3dea45fbcd395aed224201,hdixneixbalfhdbj,2396,韩国总统文在寅2018年9月访问朝鲜#朝鲜 #两国关系,2024/6/27 8:02:49,8分39秒,86.3,37607,3865,9581,9489,2418235,"感谢,文在寅,爱心,和平,世界,美国,世界和平,政治家,和平万岁,不用翻译,韩国,人民,朝韩,温馨,求歌名,希望,万岁,点赞,战争,画面,和平相处,翻译,和平共处,韩朝,民族,友谊,大团结,和平使者,友谊长存,场面",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384966698669018431&dateCode=20240627&ts=1719989024&sign=3e01ec0f613f3816eb7f02870961bd14,https://www.douyin.com/share/video/7384966698669018431/?mid=
妳的情筐有点挤手,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65366264&tab=&ts=1719989024&sign=2dc0703bd96ec1a6e78ddb81f4cd8700,40061943831,5961,#因为一个片段看了整部剧 #电影片段剪辑,2024/6/27 6:57:24,4分4秒,86.3,15793,1087,21442,3655,3555437,"炸裂,独眼龙,电影,没看懂,拔河,头像,韩国,金基德,剧情,三个,看不懂,宕机,收件人,不详,逆天,眼睛,发呆,乱七八糟,九转,大肠,儿子,表达,名字,韩国人,日本,片子,好看,忍不住,看了,狗狗",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384949856118246682&dateCode=20240627&ts=1719989024&sign=b700361bc549db0204564ce5e5d4de16,https://www.douyin.com/share/video/7384949856118246682/?mid=
